experiment,tag,population,model,features,label,split,fold,region,n,n_pos,prevalence,roc_auc,ap,auc_ci95,ap_ci95,brier,ece,logloss,thr_valmaxF1,precision,recall_sensitivity,specificity,f1,train_rows,fit_sec,date
bridge12_A,RF_v2agg,forest,RF,v2agg,fire_ever_frac>0,,,,2905,1895,0.6523235800344234,0.9549026881579978,0.9763525238966365,"[0.9485542856396458, 0.9597298518770083]","[0.9722769493789495, 0.9791285009188481]",0.07974442305096453,0.020720684370039662,0.27633909259333805,0.5395416666666667,0.9213903743315508,0.9092348284960422,0.8544554455445544,0.9152722443559097,,,2026-09-24T22:15:26
bridge12_A,LogReg_v2agg,all,LogReg,v2agg,fire_ever_frac>0,,,,4508,1896,0.42058562555456963,0.9560808682419988,0.9470943992458929,"[0.9493139068063013, 0.9619912896942704]","[0.9399311822334067, 0.9539788473497107]",0.07575836762130907,0.03072174401271268,0.27092237955012227,0.39007651805877686,0.8700102354145343,0.8966244725738397,0.9027565084226646,0.8831168831168831,,,2026-09-24T22:15:26
bridge12_A,LogReg_v2agg,forest,LogReg,v2agg,fire_ever_frac>0,,,,2905,1895,0.6523235800344234,0.9190140808276077,0.9552050151257827,"[0.9087014224509522, 0.9291281185506413]","[0.9489077089681913, 0.9605603241389633]",0.10836588180102467,0.036847811205544256,0.3633840828381432,0.39007651805877686,0.8785529715762274,0.8970976253298153,0.7673267326732673,0.8877284595300261,,,2026-09-24T22:15:26
bridge12_A,MaxEnt_v2agg,all,MaxEnt,v2agg,fire_ever_frac>0,,,,4508,1896,0.42058562555456963,0.9661544655953374,0.9539171468103395,"[0.9619769656922609, 0.971645487840929]","[0.9523157557745667, 0.9650497533549028]",0.06811200345924175,0.04909170385370027,0.3518449809842279,0.2448595621414772,0.8953732912723449,0.8982067510548524,0.9238131699846861,0.8967877830437073,,,2026-09-24T22:15:27
bridge12_A,MaxEnt_v2agg,forest,MaxEnt,v2agg,fire_ever_frac>0,,,,2905,1895,0.6523235800344234,0.9385297421562738,0.9608445389344437,"[0.934094875780454, 0.9493371496120588]","[0.9601678029836295, 0.9712445277039804]",0.10369639442077991,0.08388701533372454,0.5318904133272129,0.19766554612237286,0.8947916666666667,0.9065963060686015,0.8,0.9006553079947576,,,2026-09-24T22:15:27
bridge12_B1,RF_cdr7_f0,all,RF,cdr7,fire_ever_frac>0,,,,7196,2901,0.4031406336853808,0.9820033957220002,0.9720482711441827,"[0.9791494322338369, 0.9842635593121717]","[0.9670427050776753, 0.9765490046808872]",0.05038995792108385,0.020813374200944,0.17388399409503777,0.38535912698412716,0.8802433557476785,0.947604274388142,0.9129220023282887,0.9126826029216467,,,2026-09-24T22:15:38
bridge12_B1,RF_cdr7_f0,forest,RF,cdr7,fire_ever_frac>0,,,,4310,2894,0.671461716937355,0.9495226096072529,0.9732534861018594,"[0.9442217716666862, 0.9552424269821841]","[0.9702924835236117, 0.9765369540004178]",0.08149222378293831,0.022391915064610253,0.27004077099706264,0.38535912698412716,0.881372234690606,0.9498963372494816,0.7387005649717514,0.9143522368202228,,,2026-09-24T22:15:38
bridge12_B1,LogReg_cdr7_f0,all,LogReg,cdr7,fire_ever_frac>0,,,,7196,2901,0.4031406336853808,0.9171530510734727,0.8889436869505153,"[0.9096730142831403, 0.9234701092594221]","[0.8774596294431789, 0.8977724484273324]",0.11334629390356671,0.09493092399451444,0.38531782284259697,0.41209664940834045,0.8160489629377763,0.827300930713547,0.8740395809080326,0.8216364258815474,,,2026-09-24T22:15:39
bridge12_B1,LogReg_cdr7_f0,forest,LogReg,cdr7,fire_ever_frac>0,,,,4310,2894,0.671461716937355,0.8826748991679648,0.922833453927824,"[0.8722960262124246, 0.8912226103881399]","[0.9123818104052099, 0.931235580625564]",0.1392386166341641,0.09695429982566901,0.4474655894408903,0.27167975902557373,0.8082639714625446,0.9395300621976503,0.5444915254237288,0.8689677213167146,,,2026-09-24T22:15:39
bridge12_B1,MaxEnt_cdr7_f0,all,MaxEnt,cdr7,fire_ever_frac>0,,,,7196,2901,0.4031406336853808,0.9596983738496501,0.9487315999636167,"[0.9539640499703246, 0.9652445054272563]","[0.941911055426495, 0.9548156716486924]",0.09726676247877454,0.10078478130036592,0.3900031107415447,0.0780687754809517,0.9108554996405464,0.8734918993450534,0.9422584400465658,0.8917825092380786,,,2026-09-24T22:15:39
