year,month,ndvi_mean,lst_day_mean,lst_night_mean,dtr_mean,lst_day_anom_mean,lst_night_anom_mean,dtr_anom_mean,fire_detections,wind_mean,precip_mm_mean,precip_mmh_mean,rh_mean,tair_k_mean,qair_kgkg_mean,lwnet_wm2_mean,soilm_surface_kgm2_mean,soilm_total_kgm2_mean,wind_anom_mean,precip_anom_mean,rh_anom_mean,qair_anom_mean,tair_anom_mean,lwnet_anom_mean,soilm_surface_anom_mean
2004,12,0.42500796914100647,23.95403,10.455799,13.492746,0.6453373432159424,-0.0275677405297756,0.6732816696166992,448,3.8691347,4.5574613,0.00612562,43.407795,290.5487,0.0061340122,-96.960915,20.8914,623.8909,-0.0050472533,-4.946165,-3.753391,-0.00044120403,0.5328627,-4.2938485,-1.6308054
2005,1,0.41268762946128845,22.254433,9.663434,12.532524,-0.3213922679424286,-0.0543431229889392,-0.2660653591156006,710,4.0448923,16.408024,0.022053795,46.029247,289.02606,0.006018486,-92.69706,20.01289,594.1371,0.02705169,3.8735933,2.350829,0.0002861766,-0.080220886,3.8184803,-0.71222675
2005,2,0.39920514822006226,27.10961,12.441059,14.575265,0.1273360699415207,-0.0771941766142845,0.1969455778598785,3587,4.5030746,16.611485,0.024719473,43.010265,291.64636,0.006368371,-99.18435,20.886522,577.0043,0.28837872,1.1756237,3.6698132,0.00044345693,-0.2843466,3.9182036,0.8042537
2005,3,0.3641033172607422,33.78488,16.755585,17.030443,0.5161044001579285,0.1047068983316421,0.4113014340400696,7444,4.243725,28.830898,0.038751207,39.251934,296.3909,0.007541902,-105.597046,19.990946,562.3761,-0.015325894,7.8019433,4.0253286,0.0009010755,0.2697633,5.1254354,0.68261456
2005,4,0.31680187582969666,36.71507,18.537832,18.228704,-0.6999238729476929,-1.4712995290756226,0.7723208069801331,7538,4.318708,38.94663,0.05409254,34.17415,299.23422,0.00763674,-113.134674,20.455929,560.76776,-0.16274801,2.1924033,-0.9821976,-0.00051575206,-0.795995,-0.8737439,0.004139601
2005,5,0.3083220422267914,38.123882,21.244755,16.858128,0.3997134268283844,-0.7748771905899048,1.1723583936691284,1365,4.743961,53.75808,0.072255485,38.790356,301.39575,0.009678486,-107.089134,21.523388,565.6544,-0.33855182,-7.9782906,-1.4237959,-0.00079872896,-0.59159297,-3.0578563,-0.30347317
2005,6,0.3396054208278656,37.853848,22.706367,15.172113,1.9932762384414675,0.4175356030464172,1.6050432920455933,818,5.5188837,123.788795,0.1719289,48.861122,302.04276,0.012978312,-86.42769,25.054195,584.3302,-0.016582226,-35.684994,-7.1716266,-0.0011564821,1.1622912,-9.348095,-2.3238926
2005,7,0.4452514052391052,30.884346,20.648726,10.8850155,-0.6749678254127502,-0.053500298410654,-0.735540509223938,7,5.7269297,313.40503,0.42124334,74.13489,298.5534,0.016706416,-54.378773,34.31509,687.58356,0.053050622,38.501083,2.5024269,0.0002805762,-0.35437727,2.273265,0.73591775
2005,8,0.544845461845398,30.81291,20.518272,10.363355,0.97661691904068,0.1059293746948242,0.8693131804466248,6,5.326608,200.83492,0.2699394,73.483574,298.25784,0.016203914,-55.576057,34.631706,751.19574,0.12593293,-55.305313,-2.4418159,-0.0004303864,0.17773303,-4.4157214,-1.3683612
2005,9,0.5695063471794128,29.97294,20.170147,9.820189,-0.1104363203048706,-0.1525608450174331,0.0306092575192451,12,4.673252,197.80319,0.27472666,72.51199,297.6709,0.015660051,-54.687794,35.776608,763.98193,0.4023466,17.536654,0.34116313,0.00033322847,0.24217907,1.585388,0.06707058
2005,10,0.5397420525550842,29.510609,16.875723,12.679091,-0.2514927089214325,-0.291451096534729,0.1323433071374893,27,3.5547345,115.14075,0.15475906,60.853,295.69354,0.011799251,-73.20284,32.260685,740.71027,0.06646578,35.628407,1.4775125,0.00017838475,-0.26578066,0.3498242,0.22619203
2005,11,0.4702289402484894,26.63686,12.587459,14.052835,-0.2786427438259125,-1.233521580696106,0.9538256525993348,165,3.5748649,26.104515,0.036256272,47.840603,292.04788,0.0074349414,-92.138275,27.375868,704.587,-0.059447803,1.1972065,-4.244193,-0.0011555782,-0.8506966,-6.668479,0.56717557
2005,12,0.43518534302711487,23.109062,9.5210705,13.584794,-0.1948011070489883,-0.9607352614402772,0.7663392424583435,591,3.7477286,9.809149,0.01318434,42.88641,289.5386,0.005976533,-96.28279,22.962473,657.5934,-0.12645313,0.3055214,-4.274773,-0.00059868256,-0.4772313,-3.6157146,0.4402685
2006,1,0.4178779423236847,23.24088,9.634837,13.573695,0.6490403413772583,-0.1171826496720314,0.7678288817405701,1342,4.1984687,10.202515,0.013713057,39.76662,289.47736,0.0052185166,-100.45622,20.775944,620.6715,0.18062842,-2.3319154,-3.9118028,-0.00051379297,0.37107408,-3.9406824,0.05082675
2006,2,0.3923124074935913,29.195667,13.951692,15.253426,2.2987451553344727,1.4186813831329346,0.8826646208763123,4121,3.9609897,9.917416,0.014758059,33.230724,294.42307,0.005447831,-110.72177,18.954666,589.07776,-0.2537064,-5.518446,-6.10973,-0.0004770835,2.4923687,-7.619221,-1.127606
2006,3,0.363500714302063,32.94691,16.284344,16.685356,-0.3206051290035248,-0.3824049532413482,0.0620848536491394,16378,4.0342026,24.814568,0.03335291,38.246494,295.42007,0.0072091483,-106.30764,20.30633,573.9874,-0.22484781,3.7856112,3.0198884,0.00056832226,-0.7010716,4.4148493,0.9979968
2006,4,0.3259267807006836,36.571598,19.485712,17.104542,-0.823198676109314,-0.5185261964797974,-0.3046856522560119,3808,4.349871,34.836693,0.048384294,33.65878,299.8016,0.007862546,-114.775986,20.090145,568.1775,-0.13158461,-1.9175334,-1.4975669,-0.0002899464,-0.22859813,-2.5150638,-0.36164623
2006,5,0.32810887694358826,36.727516,22.11357,14.624849,-0.9286715388298036,0.0930429548025131,-1.0212650299072266,978,4.91668,74.61479,0.100288704,43.16584,302.0112,0.011487366,-98.913025,22.195164,572.1042,-0.16583312,12.878424,2.9516902,0.0010101512,0.023865316,5.1182504,0.36830044
2006,6,0.37589406967163086,35.181213,21.913923,13.2533865,-0.7054126858711243,-0.3308830857276916,-0.3748248517513275,111,4.9728866,165.39062,0.22970921,57.24659,300.19495,0.014048736,-76.70282,27.717983,618.955,-0.56257915,5.9168334,1.2138453,-8.6057975e-05,-0.6855225,0.3767771,0.33989567
2006,7,0.4507215619087219,30.619066,20.047634,11.477644,-0.4943616986274719,-0.6130512356758118,-0.0114787779748439,35,6.2422833,269.83145,0.36267674,72.35115,298.86725,0.016585214,-56.076893,33.403435,698.6838,0.5684044,-5.0724683,0.71868545,0.00015937281,-0.040551536,0.5751418,-0.17573805
2006,8,0.5585513114929199,29.4952,20.109436,9.367706,-0.2787726819515228,-0.4957320690155029,0.1860039383172989,18,5.870946,263.47873,0.3541381,77.29077,297.78864,0.016603664,-49.93144,36.10719,765.0223,0.67027116,7.3385296,1.3653812,-3.063477e-05,-0.2914642,1.2289,0.10711869
2006,9,0.5717036724090576,30.154396,20.498117,9.687416,0.0667176097631454,0.1772426217794418,-0.1150775104761123,10,4.22849,181.85957,0.25258273,72.35285,297.38818,0.015340169,-56.383835,35.800114,769.2592,-0.042415757,1.5930352,0.18202102,1.3345591e-05,-0.04050363,-0.11065449,0.090577625
2006,10,0.525675892829895,30.218983,18.090176,12.102415,0.4568195044994354,0.7965571284294128,-0.3186845481395721,57,3.4408338,60.912872,0.081872135,59.257168,296.29904,0.011850272,-73.511765,31.290535,726.6289,-0.047435135,-18.599457,-0.11831597,0.00022940712,0.3397381,0.040900648,-0.7439549
2006,11,0.4686610996723175,26.672338,14.023656,12.643724,-0.2383192628622055,0.2620787918567657,-0.4904124736785888,69,3.4428551,35.71028,0.049597614,56.053925,292.86584,0.009224946,-79.41467,27.502365,685.39105,-0.19145769,10.802974,3.96913,0.0006344269,-0.032768413,6.055137,0.69367176
2006,12,0.4392406642436981,23.256773,10.846978,12.402691,-0.0518032014369964,0.3653118908405304,-0.4167069494724273,314,3.954047,7.8273773,0.010520669,49.21447,290.1156,0.0068971063,-91.61514,22.44572,642.0805,0.07986509,-1.6762493,2.053287,0.0003218901,0.099773355,1.051928,-0.076483205
2007,1,0.4166548550128937,23.144644,9.848782,13.290157,0.6171421408653259,0.129129096865654,0.4899114668369293,1235,3.9582157,5.3034415,0.0071282815,37.54848,289.63647,0.0051528327,-102.82621,19.52055,606.4049,-0.05962483,-7.230989,-6.1299386,-0.0005794761,0.53019977,-6.310679,-1.2045659
2007,2,0.4049704670906067,26.334259,12.618756,13.6957,-0.5752590298652649,0.1019083335995674,-0.6754232048988342,1965,4.120327,28.146887,0.04188525,45.6167,291.58762,0.006775862,-96.873955,21.140865,587.75543,-0.09436885,12.711023,6.2762485,0.00085094746,-0.34309685,6.228599,1.0585935
2007,3,0.36558797955513,33.30384,16.57107,16.731373,0.0343612991273403,-0.0783232823014259,0.1126511543989181,16841,4.4264216,17.636396,0.023704836,37.4536,295.2515,0.0067858463,-111.13291,19.521141,571.6696,0.16737129,-3.392559,2.2269986,0.00014501986,-0.869667,-0.41041887,0.21281113
2007,4,0.3304338753223419,37.744442,20.567568,17.183453,0.3498767912387848,0.5758542418479919,-0.22585029900074,5994,4.32654,38.389126,0.053318225,33.862885,300.75137,0.008202731,-116.643074,19.859905,567.8589,-0.15491599,1.6348984,-1.2934626,5.023901e-05,0.72115576,-4.382155,-0.591888
2007,5,0.32387539744377136,37.98232,22.118816,15.879286,0.3276284635066986,0.0935844331979751,0.2346801459789276,1331,4.863228,58.69649,0.07889314,40.829384,302.0013,0.010712794,-103.81675,21.272532,572.4927,-0.21928531,-3.039878,0.6152332,0.00023557802,0.013976007,0.21452194,-0.5543276
2007,6,0.3720535635948181,36.817844,22.700085,14.152633,0.9640806913375854,0.4682472050189972,0.4591485261917114,602,5.5303025,187.57222,0.260517,57.43983,300.92365,0.014704056,-73.517784,28.52243,610.1546,-0.005162956,28.098438,1.4070804,0.000569262,0.043168783,3.5618067,1.1443393
